CaseID, Init.Err, Res.Err
1,13.4197,0.0968506
7,10.4858,0.112297
4,8.50545,0.0417086
9,13.9532,4.02626
8,5.83265,0.0567103
10,8.21269,0.0338474
10,7.41146,0.0377591
10,10.0155,0.143206
10,7.21115,0.172012
6,7.82806,0.0817407
2,13.8,13.5585
8,8.44728,0.0455128
3,9.41885,0.0395039
8,5.63152,0.148814
3,13.8277,14.1003
8,10.6597,10.1501
5,13.4714,0.338911
8,13.2743,7.07265
8,5.4304,0.0822499
5,14.0746,13.2881
6,8.02878,0.0861162
8,6.03377,0.155228
9,7.48218,-1
4,7.69541,0.0471947
5,10.8575,0.332035
7,6.85613,0.0303943
7,6.25117,0.0306235
1,5.60823,0.0498464
5,10.2543,0.14967
1,8.21205,0.0399563
8,6.83828,-1
3,12.6253,5.6759
3,5.41083,0.120037
5,10.8575,0.180345
6,9.03238,0.0109743
2,12.4,19.6392
1,12.6185,0.0909492
7,13.7123,15.2618
1,10.4153,0.113911
7,6.85613,0.106679
5,9.24899,0.159711
7,9.47759,0.0803757
8,8.44728,0.105618
3,7.21444,0.0936199
9,13.751,1.00798
2,13,11.0481
9,7.48218,0.0469647
8,7.64278,0.100517
5,13.0692,0.297993
8,6.03377,0.0600701
7,14.1156,17.8264
3,10.0201,0.0586192
2,11.8,14.7108
3,8.41685,0.0349418
5,12.265,0.39773
6,11.2403,2.50346
10,12.6195,0.0266026
9,12.7399,0.912689
2,9.40003,0.134753
6,13.6489,15.1435
6,13.6489,12.1643
5,11.0586,0.961015
1,13.0191,0.0302301
9,10.5155,0.0249408
7,8.06603,0.0536732
3,9.61925,0.209114
10,9.41455,0.0739807
8,6.03377,-1
4,6.07532,0.0174837
1,11.2165,0.109811
9,8.29106,0.071079
4,11.7456,0.0381353
9,6.06663,0.0413711
8,5.22927,0.0350805
9,7.27996,0.0663369
10,12.2189,0.176857
4,6.48034,0.0998669
9,9.70661,0.0300906
3,5.21043,0.0236936
2,12.8,20.254
7,11.0908,0.094619
2,7.60003,0.0436338
7,11.0908,0.104251
6,5.82087,-1
9,7.27996,0.116587
6,8.43022,-1
1,8.81293,0.135431
2,6.00002,0.0406858
6,13.0468,8.63779
9,11.1222,0.0343314
7,10.0825,0.0966791
7,7.05778,0.0184313
4,7.08787,0.0194522
7,5.84787,0.0891917
9,8.6955,0.0471493
8,8.44728,0.0881367
1,7.21058,0.0607956
4,9.31549,0.0465926
8,8.04503,0.038752
5,13.8735,21.6407
7,11.2924,0.242977
7,11.6957,0.257195
7,12.704,19.549
3,10.2205,3.56229
7,8.06603,0.0854673
7,10.6875,0.344374
2,12.2,7.87638
3,6.41283,0.0226429
5,6.03195,0.0820213
3,13.4269,12.354
5,13.4714,15.3615
1,6.6097,0.107945
1,11.4168,0.0418916
2,11.2,0.309107
2,6.00002,0.0641145
5,6.23302,0.139834
5,7.64047,0.0897117
4,5.6703,0.0451002
5,6.63515,0.0307902
10,7.21115,0.0354812
3,5.41083,0.0998106
9,6.87551,0.0459765
10,8.81362,0.0436973
2,9.40003,0.0258514
5,12.6671,5.14717
2,8.40003,0.0837715
5,9.04793,0.0573329
4,5.26528,0.0321922
7,10.4858,0.251032
7,12.9056,0.498727
3,6.61323,0.0960522
10,8.413,0.0162205
2,12.6,16.9827
2,5.40002,0.0359029
10,12.4192,0.0358179
6,6.62374,0.00787117
4,13.9732,0.0890851
8,11.4642,0.0444634
6,12.846,10.9703
8,13.0732,20.069
6,6.02158,0.0851414
6,12.0432,13.9162
1,5.60823,0.0604185
2,9.00003,0.101348
1,10.215,0.0756249
4,10.1255,0.0416851
8,14.0788,21.6616
8,11.0619,15.5869
6,5.21871,0.0886498
7,7.46108,0.0568218
10,6.81053,0.0898932
6,7.2259,0.317316
8,5.63152,0.0451627
2,12.8,16.0187
6,5.21871,0.105395
5,10.0533,0.112428
6,5.41943,0.0391513
10,10.4161,0.0759971
6,6.02158,0.102054
10,6.40991,0.127547
2,11.8,20.1436
6,12.846,9.50179
4,13.7707,6.51448
8,8.84953,0.177098
10,11.017,0.0885689
3,11.0221,1.632
3,9.81965,0.644077
2,12,0.143786
2,13.2,16.7343
2,11.4,6.7025
3,8.61725,0.108097
10,14.0217,4.29492
4,11.1381,0.478737
4,7.29038,0.0434774
4,10.328,0.0679687
4,7.08787,-1
1,7.21058,-1
5,10.2543,0.0260377
10,10.8167,0.196881
4,5.26528,0.0350844
9,10.3133,0.115339
8,6.63715,0.0194614
10,13.8214,23.2858
9,5.66219,0.0358807
3,8.01604,0.0352366
1,5.80852,0.168925
1,9.01323,0.181851
1,8.41234,0.115354
4,10.5306,0.0408139
9,8.6955,0.0493154
10,12.4192,8.33612
4,9.518,0.0184033
2,11.8,1.27031
7,10.8891,-1
2,9.80003,9.50858
2,7.80003,0.0540205
2,6.80002,0.082849
9,5.66219,0.0629282
8,13.2743,8.47209
8,13.8777,0.313797
2,13.2,8.59201
7,7.25943,0.0408685
1,12.0176,0.0490125
5,11.6618,1.21077
8,11.4642,0.156584
10,11.8183,0.25019
10,10.0155,0.0443708
9,10.5155,-1
7,12.3007,9.80651
3,6.01203,0.0443305
4,13.9732,10.0173
4,13.1632,0.0871463
1,5.80852,0.124604
4,6.48034,0.117246
8,8.64841,-1
1,5.20764,0.0328664
8,5.22927,0.0762888
5,11.2596,0.212242
1,13.0191,0.459648
1,11.8173,0.202473
8,12.6709,0.866477
9,10.3133,0.0784452
10,7.41146,0.0286406
2,14,15.7048
2,9.20003,0.0994653
8,8.04503,0.0480827
9,9.70661,0.0499677
7,7.66273,0.0434666
2,8.80003,0.0546229
5,13.2703,13.0122
9,7.88662,0.0681138
7,5.84787,0.125512
3,12.2245,4.39453
10,13.8214,17.3114
9,13.9532,2.87841
